speaker,pos,neg,neu,compound
AndrasForgacs,0.0951222222222222,0.0230111111111111,0.8818999999999999,0.1667622222222222
AndreaGhez,0.0648256880733944,0.0150183486238532,0.9201743119266056,0.1651119266055045
AndreasEkstrom,0.0812073170731707,0.0556463414634146,0.8631829268292683,0.0672463414634146
AndreasRaptopoulos,0.0824767441860465,0.0297790697674418,0.8877209302325579,0.0977837209302325
AndreasSchleicher,0.1225288461538461,0.0279663461538461,0.8494903846153844,0.1810923076923076
AndresLozano,0.0604999999999999,0.0449905660377358,0.8945188679245281,0.0143830188679245
AndresRuzo,0.0766466666666666,0.03418,0.8891666666666669,0.0854466666666666
AndrewBastawrous,0.0703809523809523,0.0313015873015873,0.8983015873015872,0.0952920634920635
AndrewBird,0.0343043478260869,0.0926304347826087,0.8730869565217391,-0.0537043478260869
AndrewBlum,0.0343300970873786,0.015252427184466,0.9504174757281554,0.0644009708737864
AndrewConnolly,0.0642378048780487,0.0070060975609756,0.9287499999999996,0.1282835365853658
AndrewFitzgerald,0.0873012048192771,0.020578313253012,0.8921325301204821,0.2023313253012048
AndrewMcAfee,0.1112094624860022,0.0390332586786114,0.8497624860022397,0.23619719484882415
AndrewMwenda,0.0960061349693251,0.0749509202453987,0.8290368098159508,0.0788760736196318
AndrewPelling,0.1274615384615384,0.0202,0.8523538461538464,0.174336923076923
AndrewSolomon,0.09123910053987165,0.07896984081017067,0.8297904239518762,0.02717745540706373
AndrewYoun,0.106016129032258,0.0839919354838709,0.8100241935483872,0.0645064516129032
AndyHobsbawm,0.2812083333333333,0.06375,0.6550000000000001,0.4283375000000001
AndyPuddicombe,0.0932391304347826,0.0539673913043478,0.85275,0.0379043478260869
AndyYen,0.079697247706422,0.0208073394495412,0.8995045871559633,0.1585899082568807
AngelaBelcher,0.0875070422535211,0.0098450704225352,0.9026338028169014,0.2733295774647887
AngelaDuckworth,0.12909375,0.033875,0.8370468749999997,0.1869359375
AngelaPatton,0.1016794871794871,0.007025641025641,0.8912948717948718,0.1629461538461538
AngelicaDass,0.0760721649484535,0.028721649484536,0.8952061855670103,0.0840690721649484
AngeloVermeulen,0.0632241379310344,0.0116379310344827,0.9250862068965516,0.1614396551724138
AniLiu,0.1036610169491525,0.0140338983050847,0.8822881355932203,0.2352186440677966
AnilAnanthaswamy,0.0620190476190476,0.0100190476190476,0.9279809523809524,0.1273447619047619
AnilGupta,0.0730939226519336,0.0477790055248618,0.8791325966850831,0.1098127071823204
AnjaliTripathi,0.0883599999999999,0.01863,0.8930200000000003,0.1315989999999999
AnnCooper,0.0514651162790697,0.0322790697674418,0.916248062015504,0.0436891472868217
AnnMarieThomas,0.1231315789473683,0.0026052631578947,0.8742631578947367,0.3058105263157895
AnnMorgan,0.0955254237288135,0.0209237288135593,0.8835677966101697,0.1744576271186441
AnnaDeavereSmith,0.0810470588235294,0.0757529411764705,0.8432000000000003,0.0863476470588235
AnnaMracekDietrich,0.0947432432432432,0.0143108108108108,0.8909189189189188,0.2360905405405405
AnneCurzan,0.0843741496598639,0.0409931972789115,0.8746394557823127,0.0950571428571428
AnneLamott,0.1801136363636363,0.0775075757575757,0.7424090909090909,0.2190363636363636
AnneMarieSlaughter,0.1145497076023391,0.0218187134502924,0.8636374269005848,0.1848362573099415
AnneMilgram,0.0776929824561403,0.0900877192982456,0.8322631578947367,-0.0429877192982456
AnnetteHeuser,0.0730681818181818,0.0279431818181818,0.8990000000000001,0.0985340909090909
AnnieLennox,0.095,0.0211309523809523,0.8838571428571429,0.1732321428571428
AnnieMurphyPaul,0.0664473684210526,0.0581315789473684,0.8754144736842102,0.0232901315789473
